Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
MD10,2026-05-21T14:08:36.233,2026-05-21T16:09:34.88,SQO260521125751476,7.6891.00967.A,2,0,230,230,18,222,2,0,DOOSAN,1,USINAGEM
CTU24,2026-05-21T14:12:20.717,2026-05-21T14:50:05.607,SQO260521110824755,8.2155.02142.P01,1,0,45.93,45.93,,37,1,0,,1,USINAGEM
RB30,2026-05-21T14:12:45.107,2026-05-21T14:30:43.073,SQO260521141244150,7.9113.01273.00,1,0,,,,17,1,0,MOTOFIL,1,ROBO DE SOLDA
CTU26,2026-05-21T14:16:07.653,2026-05-21T15:00:58.093,SQO260521141603937,7.2155.02794.P03,27,0,2.67,72.09,,1.6296296296296295,27,0,,1,USINAGEM
DB35,2026-05-21T14:36:31.303,2026-05-21T16:21:02.677,SQO260521143621413,8.0124.06347.00,17,0,6.34,107.78,,6.117647058823529,17,0,,1,DOBRADEIRA
RB23,2026-05-21T14:39:29.223,2026-05-21T16:14:11.437,SQO260521143926850,7.0124.09717.H06,2,0,38,76,3,45.5,2,0,,1,ROBO DE SOLDA
MD09,2026-05-21T14:40:24.183,2026-05-21T18:29:54.65,SQO260521054750595,7.0124.07085.00,2,0,53,106,4,112.5,2,0,HELLER,2,USINAGEM
MD09,2026-05-21T14:40:53.32,2026-05-21T15:27:19.713,SQO260521143150569,8.0553.00067.06,1,0,36.225,36.225,,46,1,0,HELLER,1,USINAGEM
MD04,2026-05-21T14:45:56.437,2026-05-21T18:24:13.503,SQO260521143450260,7.7800.01304.B,1,0,161.8,161.8,90,128,1,0,WOTAN,2,USINAGEM
CTU24,2026-05-21T14:50:05.607,2026-05-21T16:09:09.98,SQO260521110824755,8.2155.02142.P01,1,0,45.93,45.93,6,73,1,0,,1,USINAGEM
CTU27,2026-05-21T14:50:10.407,2026-05-21T16:34:24.447,SQO260521082021744,7.0124.11824.H01,14,0,5,70,,7.428571428571429,14,0,,1,USINAGEM
RB51,2026-05-21T14:54:11.743,2026-05-21T15:44:07.24,SQO260521143747034,7.0124.10608.00,1,0,85.33,85.33,,49,1,0,,1,ROBO DE SOLDA
CTU22,2026-05-21T14:59:59.057,2026-05-21T15:08:34.063,SQO260521144051992,8.7129.00253.H,2,0,4.72,9.44,,4,2,0,,1,USINAGEM
CTU26,2026-05-21T15:01:34.733,2026-05-21T16:14:57.837,SQO260521150132337,7.2155.02794.P03,19,0,2.67,50.73,,3.8421052631578947,19,0,,1,USINAGEM
CTU28,2026-05-21T15:06:51.82,2026-05-21T16:12:37.82,SQO260521081602543,8.2155.02755.P06,3,0,13.5,40.5,12,17.666666666666668,3,0,,1,USINAGEM
CTU22,2026-05-21T15:08:34.063,2026-05-21T15:08:43.577,SQO260521144051992,8.7129.00253.H,2,0,4.72,9.44,,0,2,0,,1,USINAGEM
CTU22,2026-05-21T15:08:43.577,2026-05-21T16:35:07.993,SQO260521144051992,8.7129.00253.H,12,0,4.72,56.64,,7.166666666666667,12,0,,1,USINAGEM
